Titulo de la iniciativa,Descripcin detallada,Ubicacin aproximada (si aplica).lat,Ubicacin aproximada (si aplica).lon,Direccin o referencias,Es un ofrecimiento individual o de grupo,Tareas realizadas y pendientes sobre este posteo,Categoria,Sector,Foto / Volante,Video (opcional),(Oferente) Nombre de la organizacion o persona referente,(Oferente) Email,(Oferente) Telefono,"(Oferente) Web, Twitter, Grupo Whatsapp, Telegram, y otras redes",(Oferente) Informacion adicional de la organizacion o areas en las que requiere apoyo,Fuente,Link a la fuente,Conexiones o colaboraciones,Acuerdo de consentimiento,Inicio de vigencia de la iniciativa,Fin de vigencia de la iniciativa,ODS Relacionados
,,,,,,,,,,,,,,,,,,,,,,
RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene: 1 - Alcance 160 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,"-25,31031","-57,41000",AREGUA - Caacupemi - San Valentin,Somos una organizacion o colectivo,,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,981256677,,,,,,Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario,,,
RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 184 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,"-25,31242","-57,41144",AREGUA - Caacupemi - San Valentin,Somos una organizacion o colectivo,,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,981256677,,,,,,Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario,,,
RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 200 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,"-25,31264","-57,41314",AREGUA - Caacupemi - San Valentin,Somos una organizacion o colectivo,,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,981256677,,,,,,Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario,,,
RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 216 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,"-25,30933","-57,40925",AREGUA - Caacupemi - San Valentin,Somos una organizacion o colectivo,,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,981256677,,,,,,Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario,,,
RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 1200 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,"-25,29143","-57,41455",AREGUA - Caacupemi - San Valentin,Somos una organizacion o colectivo,,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,981256677,,,,,,Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario,,,
RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 252 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,"-25,28372","-57,41453",AREGUA - Caacupemi - San Valentin,Somos una organizacion o colectivo,,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,981256677,,,,,,Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario,,,
RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,"-25,31932","-57,41371",AREGUA - Caacupemi - San Valentin,Somos una organizacion o colectivo,,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,981256677,,,,,,Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario,,,
RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,"-25,32105","-57,41691",AREGUA - Caacupemi - San Valentin,Somos una organizacion o colectivo,,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,981256677,,,,,,Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario,,,
RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 168 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,"-25,32406","-57,42400",AREGUA - Caacupemi - San Valentin,Somos una organizacion o colectivo,,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,981256677,,,,,,Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario,,,
