Titulo de la iniciativa,Descripcin detallada,Ubicacin aproximada (si aplica).lat,Ubicacin aproximada (si aplica).lon,Direccin o referencias,Es un ofrecimiento individual o de grupo,Tareas realizadas y pendientes sobre este posteo,Categoria,Sector,Foto / Volante,Video (opcional),(Oferente) Nombre de la organizacion o persona referente,(Oferente) Email,(Oferente) Telefono,"(Oferente) Web, Twitter, Grupo Whatsapp, Telegram, y otras redes",(Oferente) Informacion adicional de la organizacion o areas en las que requiere apoyo,Fuente,Link a la fuente,Conexiones o colaboraciones,Acuerdo de consentimiento,Inicio de vigencia de la iniciativa,Fin de vigencia de la iniciativa,ODS Relacionados
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Carayaó, con 14 comités y 130 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Vaquería, con 7 comités y 136 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Yhú, con 12 comités y 163 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Coronel Oviedo, con 10 comités y 166 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de San Joaquín, con 4 comités y 63 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de San José de los Arroyos, con 5 comités y 70 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Caaguazú, con 13 comités y 109 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Caapucu, con 10 comités y 80 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Paraguari, con 6 comités y 79 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Carapegua, con 7 comités y  102 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Liberación, con 6 comités y 106 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Chore, con 7 comités y 82 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Itacurubi del Rosario, con 1 comités y 12 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Guayaibí, con 4 comités y 42 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
