"Post ID",Survey,"Post Status","Created (UTC)","Updated (UTC)","Post Date (UTC)","Contact ID",Contact,"Data Source ID",Source,"Unstructured Description","Título de la necesidad","Ubicación aproximada.lat","Ubicación aproximada.lon",Descripción,"Categorías relacionadas","Forma de contacto (preferible email)",¿Resuelta?,"Título de la necesidad","Unicación aproximada.lat","Unicación aproximada.lon",Descripción,"Categorías relacionadas","Forma de contacto (preferible email)",¿Resuelta?,"Título del ofrecimiento","Ubicación aproximada.lat","Ubicación aproximada.lon","Descripción de la ayuda","Categorías relacionadas","Forma de contacto (preferible email)",Título,Descripción,"Ubicación aproximada.lat","Ubicación aproximada.lon","Categorías relacionadas","Forma de contacto con el centro"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ofrecimiento,published,"2020-03-18 14:30:24","2020-03-20 14:32:14","2020-03-18 14:27:47",,,,,,,,,,,,,,,,,,,,"Realizar la compra a personas que no pueden salir de casa",40.428143,-3.668711,"Mi mujer y yo podemos hacer trayectos cortos por el área de Manuel Becerra y aprovechar una salida al supermercado para añadir items a la lista de la compra","Alimentación,Higiene",diacritica@gmail.com,,,,,,
9,"Necesidad propia",published,"2020-03-19 08:54:21","2020-03-20 14:26:01","2020-03-19 08:50:36",,,,,,"RECOGIDA DE MASCARILLAS",41.647583,-0.907611,"La consejeria de Salud del Gobierno de Aragón ha habilitado un punto de recogida de material médico (mascarillas, guantes,...) en la recepción de la Consejería. En via Universitas / Esquinas del Psiquiátrico.","Higiene,Salud",Saludpublica@aragon.es,No,,,,,,,,,,,,,,,,,,,
11,"Necesidad propia",published,"2020-03-19 10:37:01","2020-03-19 11:33:43","2020-03-19 10:34:33",,,,,,"Necesito una mascarilla para una persona enferma",40.420044,-3.698376,"Soy una persona mayor con dificultad respiratoria y me vendria muy bien una mascarilla. Puedes avisarme por mail y depositarla en mi buzón.",Higiene,personayorjoseangel@gmail.com,No,,,,,,,,,,,,,,,,,,,
12,"Necesidad propia",published,"2020-03-19 10:48:05","2020-03-19 10:54:31","2020-03-19 10:46:29",,,,,,"Necesito medicamento de la farmacia.",40.416705,-3.703582,"Necesito un medicamento de la farmacia, soy una persona mayor y no me recomiendan salir. Puedes avisarme y te diria cómo dejarlo en el buzón, gracias!",,personayorjoseangel@gmail.com,No,,,,,,,,,,,,,,,,,,,
14,"Necesidad propia",published,"2020-03-20 06:17:14","2020-03-20 06:45:54","2020-03-20 06:14:03",,,,,,"RECOGIDA DE MASCARILLAS HECHAS EN CASA",41.656818,-0.880382,"Puedes realizar mascarillas de tela o impresas en 3D y hacérnoslas llegar a la Dirección General de Gobierno Abierno del Gobierno de Aragón en Plaza del Pilar 3. Nos ocupamos de distribuirlas a los colectivos que puedan serles de utilidad. Teléfono CENTRALITA donaciones 689229937 // gobiernoabierto@aragon.es",,Aragonparticipa@aragon.es,No,,,,,,,,,,,,,,,,,,,
16,Ofrecimiento,published,"2020-03-20 09:50:11","2020-03-20 10:06:57","2020-03-20 09:44:03",,,,,,,,,,,,,,,,,,,,"Cadena de favores del Bajo Aragón Histórico",41.050254,-0.132957,"Cadena de favores para vecindario necesitado del Bajo Aragón
https://actua.frenalacurva.net/t/cadena-de-favores-en-el-bajo-aragon/2059","Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle,Acogida,Salud,Maker (Impresión 3D / Mascarillas),Ayuda Psicológica,Otros",,,,,,,
17,"Necesidad propia",published,"2020-03-20 10:00:16","2020-03-20 10:03:02","2020-03-20 09:57:39",,,,,,"Buscamos personas con máquina de coser para confección de Mascarillas",37.38863,-5.99534,"Personas con máquina de coser que se comprometan a hacer mascarillas. Podemos aportarles material y recoger las mascarillas confeccionadas. Más info: 

https://actua.frenalacurva.net/t/confeccion-de-mascarillas-sevilla/2103","Maker (Impresión 3D / Mascarillas)",voluntarios.coronavirus@fpclaudiogaleno.es,No,,,,,,,,,,,,,,,,,,,
18,"Necesidad propia",published,"2020-03-20 10:01:35","2020-03-20 10:03:19","2020-03-20 10:00:31",,,,,,"Buscamos personas con máquina de coser para elaborar mascarillas",39.469901,-0.375951,"Personas con máquina de coser que se comprometan a hacer mascarillas. Podemos aportarles material y recoger las mascarillas confeccionadas. Más info: 

https://actua.frenalacurva.net/t/confeccion-de-mascarillas-sevilla/2103","Maker (Impresión 3D / Mascarillas)",voluntarios.coronavirus@fpclaudiogaleno.es,No,,,,,,,,,,,,,,,,,,,
19,"Necesidad propia",published,"2020-03-20 10:02:17","2020-03-20 10:03:14","2020-03-20 10:01:44",,,,,,"Buscamos personas con máquina de coser para elaborar mascarillas",40.416705,-3.703582,"Personas con máquina de coser que se comprometan a hacer mascarillas. Podemos aportarles material y recoger las mascarillas confeccionadas. Más info: 

https://actua.frenalacurva.net/t/confeccion-de-mascarillas-sevilla/2103","Maker (Impresión 3D / Mascarillas)",voluntarios.coronavirus@fpclaudiogaleno.es,No,,,,,,,,,,,,,,,,,,,
